,County,vehicle_pc_BEV,vehicle_pc_FFV,vehicle_pc_SIDI
344,Runnels_TX,10.5,0.0,89.5
345,Rusk_TX,0.1,0.0,99.9
346,Sabine_TX,0.0,0.0,100.0
347,San Augustine_TX,1.6,0.0,98.4
348,San Jacinto_TX,0.0,0.0,100.0
349,San Patricio_TX,12.5,16.3,71.2
350,San Saba_TX,0.0,0.0,100.0
351,Schleicher_TX,0.0,0.0,100.0
352,Scurry_TX,0.0,13.1,86.9
353,Shackelford_TX,0.0,0.0,100.0
354,Shelby_TX,0.0,0.0,100.0
355,Sherman_TX,0.0,0.0,100.0
356,Smith_TX,28.7,0.0,71.3
357,Somervell_TX,0.0,0.0,100.0
358,Starr_TX,0.0,0.0,100.0
359,Stephens_TX,0.0,0.0,100.0
360,Sterling_TX,0.0,0.0,100.0
361,Stonewall_TX,0.0,0.0,100.0
362,Sutton_TX,0.0,0.0,100.0
363,Swisher_TX,0.0,0.0,100.0
364,Tarrant_TX,86.9,13.1,0.0
365,Taylor_TX,15.7,0.0,84.3
366,Terrell_TX,0.0,0.0,100.0
367,Terry_TX,0.0,0.0,100.0
368,Throckmorton_TX,0.0,0.0,100.0
369,Titus_TX,25.6,0.0,74.4
370,Tom Green_TX,7.2,0.0,92.8
371,Travis_TX,82.4,17.6,0.0
372,Trinity_TX,0.0,0.0,100.0
373,Tyler_TX,0.0,0.0,100.0
374,Upshur_TX,0.0,0.0,100.0
375,Upton_TX,0.0,0.0,100.0
376,Uvalde_TX,7.1,0.0,92.9
377,Val Verde_TX,3.1,0.0,96.9
378,Van Zandt_TX,13.1,0.0,86.9
379,Victoria_TX,21.4,0.0,78.6
380,Walker_TX,16.3,0.0,83.7
381,Waller_TX,36.8,4.7,58.5
382,Ward_TX,14.9,2.1,82.9
383,Washington_TX,35.3,15.6,49.0
384,Webb_TX,3.2,0.0,96.8
385,Wharton_TX,10.6,0.0,89.4
386,Wheeler_TX,9.8,0.0,90.2
387,Wichita_TX,30.6,0.0,69.4
388,Wilbarger_TX,11.4,0.0,88.6
389,Willacy_TX,0.0,0.0,100.0
390,Williamson_TX,33.0,17.7,49.3
391,Wilson_TX,13.7,0.0,86.3
392,Winkler_TX,0.3,0.0,99.7
393,Wise_TX,0.0,0.0,100.0
394,Wood_TX,0.0,0.0,100.0
395,Yoakum_TX,0.0,0.0,100.0
396,Young_TX,0.0,0.0,100.0
397,Zapata_TX,0.0,0.0,100.0
398,Zavala_TX,0.0,0.0,100.0
