,County,annual_ghg_emissions,annual_operating_cost,total_annual_cost,annual_fuel_use,total_vehicle_count,vehicle_split_BEV,vehicle_split_FFV,vehicle_split_SIDI,vehicle_pc_BEV,vehicle_pc_FFV,vehicle_pc_SIDI,State
257,Houston TX,58152053000.0,11408139.0,163668500.0,8708503.4,23262.0,0.0,0.0,23262.0,0.0,0.0,100.0,TX
258,Howard,73476469200.0,13661481.87,211466188.0,10337001.87,30813.0003,4053.8103,0.0,26759.19,13.2,0.0,86.8,TX
259,Hudspeth,9782775657.0,1183379.5865,25217764.69,902565.2626,3674.999972,21.061372,0.0,3653.9386,0.6,0.0,99.4,TX
260,Hunt,176216172000.0,42893001.1,678736084.0,32367506.1,99571.0,16604.734,1.5020174e-13,82966.266,16.7,0.0,83.3,TX
261,Hutchinson,38952485000.0,11765655.0,168797660.0,8981416.3,23991.0,0.0,0.0,23991.0,0.0,0.0,100.0,TX
262,Irion,21461002000.0,1696851.6,24344124.0,1295306.6,3460.0,0.0,0.0,3460.0,0.0,0.0,100.0,TX
263,Jack,45213405000.0,3574876.8,76105059.0,2728913.6,11081.0,0.0,0.0,11081.0,0.0,0.0,100.0,TX
264,Jackson TX,102730152200.0,7969015.869999999,123358537.0,6029744.090000001,17975.0002,2366.2592,0.0,15608.741,13.2,0.0,86.8,TX
265,Jasper,160720716000.0,12724168.81,276325414.0,9543479.09,40943.999899999995,4592.3069,0.0,36351.693,11.2,0.0,88.8,TX
266,Jeff Davis,5094151310.0,1289019.093,19040450.53,980742.65,2733.00001,143.43241,1.682701e-13,2589.5676,5.2,0.0,94.8,TX
267,Jefferson,634555320000.0,62298370.0,1389305980.0,45591036.8,210517.001,53197.671,0.0,157319.33,25.3,0.0,74.7,TX
268,Jim Hogg,18373429000.0,1452727.2,30926909.0,1108952.1,4503.0,0.0,0.0,4503.0,0.0,0.0,100.0,TX
269,Jim Wells,110645080000.0,13450712.0,286350350.0,10267719.0,41693.0,0.0,0.0,41693.0,0.0,0.0,100.0,TX
270,Johnson,756607296000.0,61791667.1,1199283450.0,47638139.9,180008.0,42563.287,44182.478,93262.235,23.6,24.5,51.8,TX
271,Jones,45865708000.0,5575723.8,118700810.0,4256277.8,17283.0,0.0,0.0,17283.0,0.0,0.0,100.0,TX
272,Karnes,83804541000.0,6626152.4,141063240.0,5058131.6,20539.0,0.0,0.0,20539.0,0.0,0.0,100.0,TX
273,Kaufman,266585645700.0,59601980.41,903655081.7,45272828.29,130657.99740000001,11661.803,1194.2344,117801.96,8.9,0.9,90.2,TX
274,Kendall,193649975000.0,19403184.2,429433486.0,14775120.5,65139.0,17064.079,10760.027,37314.894,26.2,16.5,57.3,TX
275,Kenedy,1825817700.0,221957.88,4725230.6,169433.5,688.0,0.0,0.0,688.0,0.0,0.0,100.0,TX
276,Kent,3027991200.0,368101.65,7836465.3,280993.63,1141.0,0.0,0.0,1141.0,0.0,0.0,100.0,TX
277,Kerr,176625288000.0,22100957.7,400503509.0,16723226.1,60149.0,15983.793,6592.077,37573.13,26.6,11.0,62.5,TX
278,Kimble,17752104600.0,1960440.6199999999,42572861.5,1470422.2580000001,6308.00002,706.53222,0.0,5601.4678,11.2,0.0,88.8,TX
279,King,785836470.0,237363.06,3405363.1,181193.18,484.0,0.0,0.0,484.0,0.0,0.0,100.0,TX
280,Kinney,9482044400.0,1152696.9,24539606.0,879921.34,3573.0,0.0,0.0,3573.0,0.0,0.0,100.0,TX
281,Kleberg,106193706000.0,7976991.67,174415290.0,5946114.399999999,25994.9998,3876.6428,0.0,22118.357,14.9,0.0,85.1,TX
282,Knox,11214979000.0,1363363.4,29024454.0,1040735.4,4226.0,0.0,0.0,4226.0,0.0,0.0,100.0,TX
283,Lamar,213846630000.0,16908158.0,359955430.0,12906991.0,52410.0,0.0,0.0,52410.0,0.0,0.0,100.0,TX
284,Lamb,34356156000.0,4176550.4,88914005.0,3188206.4,12946.0,0.0,0.0,12946.0,0.0,0.0,100.0,TX
285,Lampasas,73278967000.0,9482504.01,176401754.0,7188170.95,26580.000200000002,7374.4107,3590.3575,15615.232,27.7,13.5,58.7,TX
286,La Salle,32745339000.0,2585422.1,55040695.0,1973604.7,8014.0,0.0,0.0,8014.0,0.0,0.0,100.0,TX
287,Lavaca,49112528900.0,14457003.078,208237046.3,11030979.056,29637.000330000003,216.86833,1.682701e-13,29420.132,0.7,0.0,99.3,TX
288,Lee,80757727000.0,10745526.75,172106321.0,8096429.25,25339.999900000003,4702.1909,0.0,20637.809,18.6,0.0,81.4,TX
289,Leon,96828744000.0,7655933.7,162986120.0,5844224.2,23731.0,0.0,0.0,23731.0,0.0,0.0,100.0,TX
290,Liberty,297788055440.0,36108460.496,595901582.5,28295415.345,85546.9994,157.6194,22704.745,62684.635,0.2,26.5,73.3,TX
291,Limestone,101349560000.0,8002097.7,170355550.0,6108471.5,24804.0,0.0,0.0,24804.0,0.0,0.0,100.0,TX
292,Lipscomb,6575697700.0,1986199.2,28495290.0,1516182.6,4050.0,0.0,0.0,4050.0,0.0,0.0,100.0,TX
293,Live Oak,44130810000.0,4447869.56,98575238.0,3274227.89,14860.000500000002,3278.3355,0.0,11581.665,22.1,0.0,77.9,TX
294,Llano,52274644000.0,11518310.9,191441414.0,8637495.62,28491.9997,6863.6167,1.5020174e-13,21628.383,24.1,0.0,75.9,TX
295,Loving,374342060.0,92543.925,1630725.7,70644.218,235.0,0.0,0.0,235.0,0.0,0.0,100.0,TX
296,Lubbock,829647139000.0,80305246.9,1632848400.0,62258149.4,246175.99800000002,61418.172,72394.086,112363.74,24.9,29.4,45.6,TX
297,Lynn,16949851000.0,2060530.5,43866349.0,1572924.0,6387.0,0.0,0.0,6387.0,0.0,0.0,100.0,TX
298,McCulloch,39770333000.0,3144510.8,66943056.0,2400389.9,9747.0,0.0,0.0,9747.0,0.0,0.0,100.0,TX
299,McLennan,911694040000.0,67047889.0,1483661240.0,49427213.7,223373.004,47496.384,0.0,175876.62,21.3,0.0,78.7,TX
300,McMullen,13186731000.0,1042632.0,14958268.0,795902.26,2126.0,0.0,0.0,2126.0,0.0,0.0,100.0,TX
301,Madison,41809761000.0,4107533.62,91586718.0,3006424.09,13876.000199999999,3495.0642,0.0,10380.936,25.2,0.0,74.8,TX
302,Marion,43299761000.0,3423571.2,72883935.0,2613413.2,10612.0,0.0,0.0,10612.0,0.0,0.0,100.0,TX
303,Martin TX,42957897950.0,3391301.193,48961992.24,2586954.3945,6973.999973,80.764073,0.0,6893.2359,1.2,0.0,98.8,TX
304,Mason,26861475000.0,2120859.1,45150677.0,1618976.5,6574.0,0.0,0.0,6574.0,0.0,0.0,100.0,TX
305,Matagorda,144007576000.0,11407040.3,248675169.0,8525884.7,36969.0005,4921.3215,0.0,32047.679,13.3,0.0,86.7,TX
306,Maverick,199329762700.0,15521662.23,333106009.0,11765456.94,48848.9998,2250.8578,0.0,46598.142,4.6,0.0,95.4,TX
307,Medina,143980006512.0,27750861.4431,399892272.59,21199786.3934,56857.000407,14.103167,501.53924,56341.358,0.0,0.9,99.1,TX
308,Menard,12004137000.0,949128.02,20205855.0,724525.21,2942.0,0.0,0.0,2942.0,0.0,0.0,100.0,TX
309,Midland,702405809000.0,71606807.8,1528435960.0,54007031.8,231447.997,60700.019,21753.778,148994.2,26.2,9.4,64.4,TX
310,Milam,122690830000.0,9687106.4,206227470.0,7394737.7,30027.0,0.0,0.0,30027.0,0.0,0.0,100.0,TX
311,Mills,18884475000.0,2295715.5,48873170.0,1752454.6,7116.0,0.0,0.0,7116.0,0.0,0.0,100.0,TX
312,Mitchell,29296741000.0,2313136.6,49244046.0,1765753.1,7170.0,0.0,0.0,7170.0,0.0,0.0,100.0,TX
313,Montague,66389136000.0,13024072.0,186851710.0,9942039.6,26557.0,0.0,0.0,26557.0,0.0,0.0,100.0,TX
314,Montgomery,1872859070000.0,100668108.0,3500873700.0,79117495.0,561699.0,288721.41,272977.59,0.0,51.4,48.6,0.0,TX
315,Moore,53063212000.0,10378985.69,161287261.0,7849555.21,23530.0001,3245.0991,0.0,20284.901,13.8,0.0,86.2,TX
316,Morris,56117355000.0,4430769.6,94326042.0,3382266.9,13734.0,0.0,0.0,13734.0,0.0,0.0,100.0,TX
317,Motley,6839992200.0,540054.49,11497145.0,412255.34,1674.0,0.0,0.0,1674.0,0.0,0.0,100.0,TX
318,Nacogdoches,228648347000.0,18129567.0,394372746.0,13577087.95,58520.0003,7100.5853,0.0,51419.415,12.1,0.0,87.9,TX
319,Navarro,204500768000.0,16211408.8,352073398.0,12158474.21,52169.9995,5865.2915,0.0,46304.708,11.2,0.0,88.8,TX
320,Newton,55238613000.0,4367537.4,92979901.0,3333998.1,13538.0,0.0,0.0,13538.0,0.0,0.0,100.0,TX
321,Nolan,56601566100.0,4488451.13,97720029.0,3358788.45,14511.0005,1827.7035,0.0,12683.297,12.6,0.0,87.4,TX
322,Nueces,846767070000.0,86264012.0,1845217970.0,65667648.1,283536.0,101249.58,65012.49,117273.93,35.7,22.9,41.4,TX
323,Ochiltree,49281449000.0,3891037.7,82835765.0,2970257.8,12061.0,0.0,0.0,12061.0,0.0,0.0,100.0,TX
324,Oldham,7534618200.0,1478124.5,21206125.0,1128339.3,3014.0,0.0,0.0,3014.0,0.0,0.0,100.0,TX
325,Orange TX,247478112000.0,20492300.9,524723490.0,15635532.2,81558.001,30926.039,21346.937,29285.025,37.9,26.2,35.9,TX
326,Palo Pinto,134858990000.0,10647848.0,226680580.0,8128128.6,33005.0,0.0,0.0,33005.0,0.0,0.0,100.0,TX
327,Panola,44010090000.0,13293312.0,190714400.0,10147567.0,27106.0,0.0,0.0,27106.0,0.0,0.0,100.0,TX
328,Parker,490565540000.0,61722036.9,1085807570.0,47260731.4,160829.996,29899.019,25332.017,105598.96,18.6,15.8,65.7,TX
329,Parmer,16418137000.0,4959122.4,71146759.0,3785589.7,10112.0,0.0,0.0,10112.0,0.0,0.0,100.0,TX
330,Pecos,67056970400.0,5244473.56,112212903.9,3985835.3310000002,16412.00004,475.93304,0.0,15936.067,2.9,0.0,97.1,TX
331,Polk TX,330729548400.0,26663853.4,398877667.0,20509589.4,56865.9995,0.0,4801.8655,52064.134,0.0,8.4,91.6,TX
332,Potter,294222468000.0,31688704.1,691941959.0,23649849.9,103010.0,14619.446,0.0,88390.554,14.2,0.0,85.8,TX
333,Presidio,32006237560.0,2528901.328,54127811.9,1921408.492,7918.999949999999,245.02615,0.0,7673.9738,3.1,0.0,96.9,TX
334,Rains,62985950000.0,4973082.4,105871260.0,3796246.1,15415.0,0.0,0.0,15415.0,0.0,0.0,100.0,TX
