,County,annual_ghg_emissions,annual_operating_cost,total_annual_cost,annual_fuel_use,total_vehicle_count,vehicle_split_bev,vehicle_split_ffv,vehicle_split_sidi,county,state
49,Cass_TX,1179840560000.0,211577199.0,2779286410.0,85603311.0,417684.993,44.3,14.1,41.6,Cass_TX,TX
50,Castro_TX,145498728613.0,24426176.238,269309595.9,9037972.8458,38399.000420000004,18.7,0.0,81.2,Castro,TX
51,Chambers_TX,71913373000.0,16785049.22,183157414.0,6156926.99,25722.999900000003,8.6,0.0,91.4,Chambers,TX
52,Cherokee_TX,6788491930.0,1135584.436,12332575.99,416311.579,1728.99998,7.7,0.0,92.3,Cherokee,TX
53,Childress_TX,579182520000.0,199594178.3,2289759647.0,74188030.6,326745.0014,16.5,2.5,81.0,Childress,TX
54,Chippewa_MN,137164149000.0,37130456.3,424548053.0,13817599.9,61345.0,25.6,0.0,74.4,Chippewa,MN
55,Chisago_MN,2824259832000.0,360385590.0,4694624540.0,142755653.0,711435.9909999999,50.4,7.0,42.6,Chisago,MN
56,Clay_MN,227119240000.0,24551980.700000003,398825087.0,11002651.299999999,63097.999899999995,68.3,23.3,8.4,Clay_MN,MN
57,Clay_TX,50150244000.0,18077346.5,205308823.0,6662734.74,29246.0004,16.0,0.0,84.0,Clay_TX,TX
58,Clearwater_MN,103216630000.0,11259298.0,159219300.0,6433884.6,22605.0,0.0,0.0,100.0,Clearwater,MN
59,Cochran_TX,2019380530000.0,164697089.0,2983237100.0,92724728.0,461591.0,63.4,36.6,0.0,Cochran,TX
60,Coke_TX,217761581000.0,23973490.0,320803307.0,14289264.2,45348.9999,0.0,15.2,84.8,Coke,TX
61,Coleman_TX,205222020000.0,30565681.55,434876662.0,17332791.34,62005.0005,3.6,0.0,96.4,Coleman,TX
62,Collin_TX,230526480900.0,27395023.17,376566368.0,16551687.99,53647.0,5.3,22.9,71.8,Collin,TX
63,Collingsworth_TX,32581373000.0,3796538.7,51912175.0,2358743.84,7351.0,0.0,30.1,69.9,Collingsworth,TX
64,Colorado_TX,387828721000.0,41873866.8,614999200.0,25970180.2,89310.99900000001,18.5,38.5,43.0,Colorado,TX
65,Colusa_CA,159192551000.0,17363834.0,250776565.0,9658292.82,36126.0,12.2,0.0,87.8,Colusa,CA
66,Comal_TX,213138076000.0,22929256.6,337829179.0,13672328.0,49370.0,24.1,28.8,47.1,Comal,TX
67,Comanche_TX,502411931000.0,55702029.9,868263920.0,39032851.6,127021.0,21.4,78.6,0.0,Comanche,TX
68,Concho_TX,183021048000.0,19327755.8,277668081.0,10824948.22,39855.9999,9.2,0.0,90.8,Concho,TX
69,Contra Costa_CA,69342838000.0,8186733.54,120033151.0,5212128.08,17358.000099999997,14.7,45.3,40.0,Contra Costa,CA
70,Cook_MN,260901786000.0,28812674.0,498249300.0,18245198.2,75183.0,43.5,56.5,0.0,Cook,MN
71,Cooke_TX,317722912000.0,41355277.3,576192354.0,25338866.12,82314.9999,6.9,28.7,64.4,Cooke,TX
72,Coryell_TX,50092702000.0,6563917.5,85966827.0,3750810.0,12131.0,0.0,0.0,100.0,Coryell,TX
73,Cottle_TX,124381083200.0,31898277.83,455197102.0,23586766.41,64786.0,1.7,0.0,98.3,Cottle,TX
74,Cottonwood_MN,60027191000.0,7994397.300000001,114724579.0,5434810.4,16306.0,0.0,62.2,37.8,Cottonwood,MN
75,Crane_TX,409838057000.0,43146846.3,603974557.0,24795734.5,87200.0,16.5,12.3,71.2,Crane,TX
76,Crockett_TX,2567491280000.0,186717720.0,3521168500.0,93222811.0,556057.0,79.3,20.7,0.0,Crockett,TX
77,Crosby_TX,115536083900.0,13791678.52,195404649.0,8286526.36,28024.9995,9.4,23.6,67.0,Crosby,TX
78,Crow Wing_MN,177851850000.0,24548420.1,347632069.0,14418748.0,50240.0003,16.6,19.6,63.8,Crow Wing,MN
79,Culberson_TX,103001281600.0,10883569.3,143782479.9,6326540.069999999,20304.0,0.0,6.2,93.8,Culberson,TX
80,Dakota_MN,101462798700.0,14256349.5,200679902.0,8015623.2299999995,29112.0004,20.5,7.7,71.8,Dakota,MN
81,Dallam_TX,163704727000.0,17802346.7,292078209.0,11651371.4,43607.0,36.9,63.1,0.0,Dallam,TX
82,Dallas_TX,273065769000.0,26458505.6,427355403.0,15346435.4,64434.0,46.7,33.8,19.5,Dallas,TX
83,Dawson_TX,37216109000.0,4335997.5,59291634.0,2694174.59,8396.0,0.0,30.2,69.8,Dawson,TX
84,DeWitt_TX,6235864280000.0,511904847.0,10007639090.0,225286330.0,1607855.99,92.4,7.6,0.0,DeWitt,TX
85,Deaf Smith_TX,89542623000.0,12885339.01,185011019.0,7221944.65,26546.0,8.9,0.0,91.1,Deaf Smith,TX
86,Del Norte_CA,144265375200.0,15236449.16,201541163.2,8798523.897,28501.00049,1.3,4.6,94.2,Del Norte,CA
87,Delta_TX,236380194000.0,21876958.900000002,352859127.0,13579856.1,52761.0004,39.3,48.8,11.9,Delta,TX
88,Denton_TX,190753766000.0,33806834.6,445286836.0,19536316.71,62865.0,0.0,4.1,95.9,Denton,TX
89,Dickens_TX,51680210381.3,7094364.14452,100843682.647,4739123.87174,14323.0000144,0.0,56.0,44.0,Dickens,TX
90,Dimmit_TX,96952474800.0,11523808.360000001,158817801.0,6941055.529999999,22657.0004,6.4,22.4,71.1,Dimmit,TX
